person_id,name,gender,abuser_project_count
101014,Beatrice Rosen,1,1
1010144,Alice Day,1,1
101015,Chin Han,2,1
1010189,Adan Canto,2,1
101026,Rene Rivera,2,2
101034,Kerry Shale,2,1
101037,Christopher Maleki,2,2
101045,Jennifer Siebel Newsom,1,2
101054,Willow Hale,0,1
101060,Danielle Nicolet,1,2
1010628,Wanda Tuchock,1,1
101071,Evalena Marie,0,1
1010811,Lillian Tillegreen,0,1
1010819,Elham Ehsas,0,1
101088,Matt Lasky,2,1
1010912,Tim Downie,2,3
1010922,Mark Underwood,2,1
1011000,Gudrun Giddings,1,1
1011002,Justin Steele,2,1
101108,Alberto De Martino,2,1
101110,Giovanni Grimaldi,0,1
1011103,William Peltz,2,1
10112,Yoo Ji-tae,2,1
1011256,Brad Marlowe,2,1
101127,Maria Pia Conte,1,1
101165,Daniel Sauli,2,1
1011669,Takumi Bando,2,2
101168,Seth Adam Jones,0,1
101172,Michael Cavanaugh,2,2
10118,Kenny Bates,0,1
10119,Scott Gardenhour,0,2
101201,Luciano Bartoli,0,1
1012022,Joshua Zetumer,0,2
1012037,Sarah Y. Mason,1,1
101208,Melantha Blackthorne,1,1
1012121,Aida Young,0,1
101218,Deke Richards,2,1
10122,Barry H. Waldman,0,3
101232,Gene Roth,2,1
101233,Michael Winnick,0,1
101243,Artie Baxter,0,2
101253,Marc Trottier,2,1
101255,Inna Korobkina,1,1
101257,Shawn Michael Howard,2,3
101258,Elisa Moolecherry,1,1
1012611,Devon Raymond,0,1
10127,Jon Voight,2,9
101273,Stephen Quadros,2,1
1012974,Camilo Gallardo,0,2
1012977,Chris Cornell,2,1
101300,J. Downing,2,1
10131,Sara Rue,1,1
101312,David Booth,2,1
101313,Lawrence Hecht,2,1
1013164,Byron Q,0,1
10132,Colm Feore,2,6
101320,Jean Luisi,2,1
1013293,Tracy Layne,2,1
1013330,Art Edler Brown,0,1
10134,Mako,2,1
1013424,Hilary Linstead,0,1
1013469,Deborah Ridpath,1,1
10135,Jesse James,2,2
10136,Reiley McClendon,2,2
10137,Steve Rankin,0,1
101377,Paul Bartel,2,1
10138,Brian Haley,2,2
1013882,Mitch Gaylord,2,1
101397,Rusty De Wees,0,1
1013983,Henry S. Schleiff,0,1
1013998,Dietrich Kuhlbrodt,0,1
1014035,Mary Mason,0,1
1014193,Jerzy Antczak,0,1
101423,Artur Smolyaninov,0,1
101436,Konstantin Kryukov,0,1
1014459,Michele Winstanley,0,1
1014572,Joseph Melendez,2,1
1014587,Bryan Probets,0,1
10146,Jacques Tourneur,2,1
101462,Marland Proctor,0,1
10147,Daniel Mainwaring,2,1
10148,Warren Duff,2,1
101481,Virginia Christine,1,1
1014850,Emanuel Ragsdale,0,1
1014851,Robert LeQuang,0,1
1014852,Michael G. Wilkinson,0,1
1014853,Lyndsey Nelson,0,1
1014854,Michael Cody Gilbert,0,1
10149,Robert Sparks,2,1
1014923,Alan Bernon,0,2
1014924,Ed Borgerding,0,1
1014925,Myles Nestel,0,3
1014926,Lino Facioli,2,1
101497,Patricia Laffan,1,1
101504,David Weston,0,1
101522,Walter Perez,2,1
1015339,Myron A. Hyman,0,1
1015340,Tim Janis,2,1
1015378,Vili Matula,0,1
1015385,Sven Medvešek,0,2
1015394,Silvio Muraglia,0,1
101542,Ti West,2,1
101549,Paul Müller,2,2
101551,Giuseppe Addobbati,2,1
1015568,Tristan D. Lalla,2,1
1015780,Frankie Ingrassia,0,1
10158,Robert Mitchum,2,6
1015817,Carmen Ungureanu ,0,1
