person_id,name,gender
nm0827429,William Sterchi,2
nm3290049,Ben Whitehair,0
nm1697030,Catherine Haun,1
nm0937514,John Wojda,0
nm6718908,Julian Wondolowski,0
nm2388037,Marybeth Massett,1
nm4472978,Joe Girard,0
nm7592188,Karan Choudhary,0
nm5321565,Lionel Archuleta,0
nm0245041,John Pirkis,0
nm2002316,Vic Browder,2
nm8327327,Nicole Brady,1
nm1088446,Frank Bond,2
nm2132129,Casey Messer,1
nm0492552,John Lawlor,2
nm0077718,Joe Berryman,0
nm3485076,Jessica Cummings,1
nm0240935,Patrick Duggan,0
nm0873997,Ed Trucco,0
nm1753356,Nophand Boonyai,0
nm1758782,Tanapol Chuksrida,2
nm7471295,Shad Adair,0
nm5541402,Rick Anglada,0
nm6959350,Alison Grainger,1
nm7518433,Evan Bryn Graves,1
nm7491674,Sylvie Grontis Hagan,1
nm7251647,Jameson Macmillan,0
nm5943634,Phil Oddo,0
nm6096281,Alexander Daniel Pimentel,2
nm3290674,Michael Neal Powell,0
nm5333438,James Tyler Robinson,2
nm7142268,Kate Sears,1
nm7290400,Nora Sommerkamp,1
nm5877528,Michael E. Stogner,0
nm4273216,Kathie Westgate,1
nm0557270,Patrick Massett,2
nm0300866,Stephen Gaghan,2
nm0637602,Michael Nozik,2
nm3267061,Teddy Schwarzman,0
nm0957003,John Zinman,2
nm0000474,Michael Keaton,2
nm0644406,Nick Offerman,2
nm0002253,John Carroll Lynch,2
nm0004802,Linda Cardellini,1
nm0933940,Patrick Wilson,2
nm1145983,B. J. Novak,2
nm0000368,Laura Dern,1
nm6119252,Justin Randell Brooke,0
nm0280409,Wilbur Fitzgerald,2
nm0975225,Griff Furst,2
nm0212278,David de Vries,2
nm0070235,Andrew Benator,0
nm2278056,Cara Mantella,0
nm0853024,Randall Taylor,0
nm3813298,Kabby Borders,0
nm0359387,John Lee Hancock,2
nm1583132,Sam Englebardt,0
nm0359534,Don Handfield,0
nm4207924,William D. Johnson,0
nm2353862,Dev Patel,2
nm1913734,Rooney Mara,1
nm0920992,David Wenham,2
nm2591562,Divian Ladwa,2
nm3140757,Priyanka Bose,0
nm0622732,Deepti Naval,1
nm1318578,Tannishtha Chatterjee,0
nm2469136,Nawazuddin Siddiqui,2
nm4430268,Benjamin Rigby,0
nm3354963,Pallavi Sharda,0
nm5064446,Arka Das,0
nm5949710,Emilie Cocquerel,0
nm3403310,Sachin Joab,0
nm3090492,Menik Gooneratne,0
nm4421498,Anna Samson,0
nm1181180,Eamon Farren,0
nm2798882,Tegan Crowley,0
nm4184874,Belinda Misevski,0
nm7148103,Lucy Moir,0
nm0204628,Garth Davis,2
nm1729294,Luke Davies,0
nm2096617,Iain Canning,0
nm1338866,Angie Fielder,0
nm0792431,Emile Sherman,0
nm0292069,Andrew Fraser,0
nm0962995,Daniel Levin,0
nm0000511,Shirley MacLaine,1
nm0001448,Jessica Lange,1
nm0000193,Demi Moore,1
nm0175262,Billy Connolly,0
nm0002139,Judd Hirsch,2
nm0909768,Matt Walsh,2
nm0381606,Howard Hesseman,2
nm3762369,Rebecca Da Costa,1
nm0000883,Stephanie Beacham,0
nm4266079,Miles Mussenden,0
nm0855035,Andy Tennant,2
nm3733763,Sofia Black-D'Elia,1
nm3006818,Analeigh Tipton,1
nm2506621,Travis Tope,2
nm0446622,Machine Gun Kelly,2
nm0446672,Michael Kelly,2
nm0182824,"John Cothran, Jr.",2
nm0922899,Stoney Westmoreland,0
nm5446249,Linzie Gray,1
nm0253068,Judyann Elder,1
nm3526370,Brianne Howey,0
nm4355757,Dean Neistat,0
nm3518466,Anna Ross,1
nm3293813,Brendon Eggertsen,0
nm2269943,Erik A. Williams,0
nm1266276,Paul Lacovara,0
nm1268419,Alexa Fischer,1
nm2147477,Jay Hieron,0
nm0461730,Matt Knudsen,0
nm1160962,Henry Joost,2
nm1413364,Ariel Schulman,2
nm0089658,Jason Blum,2
nm1602119,Sherryl Clark,0
nm1023349,Stuart Ford,0
nm0493600,Charles Layton,2
nm0454242,Todd King,2
nm5009883,Matt Jackson,2
nm1115325,Steven Squillante,0
nm5234483,Matthew Kaplan,0
nm0901822,Jeanette Brill,1
nm0000134,Robert De Niro,2
nm0810619,Jurnee Smollett,1
nm0000289,Ellen Barkin,1
nm0001952,Rubén Blades,2
nm0713378,Usher Raymond,0
nm0001806,John Turturro,2
nm0146146,Reg E. Cathey,2
nm0805054,Robb Skyler,2
nm1869101,Ana de Armas,1
nm1049982,Óscar Jaenada,2
nm0210584,Drena De Niro,1
nm4368989,Ilza Rosario,0
nm1190376,Anthony Molinari,2
nm1189755,Jonathan Jakubowicz,0
nm0000706,Michelle Yeoh,1
nm0947447,Donnie Yen,2
nm0001462,Jason Scott Lee,2
nm1484270,Harry Shum Jr.,2
nm1067699,Eugenia Yuan,1
nm0950619,Roger Yuan,2
nm3616779,Chris Pang,2
nm0661974,Woon Young Park,2
nm0704520,Darryl Quon,2
nm1787887,Veronica Ngo,1
nm3822586,Shuya Chang,1
nm1399271,Andrew Stehlin,2
nm0950759,Yuen Woo-ping,0
nm0004214,Bey Logan,2
nm0079111,Jeff Betancourt,2
nm0003515,Ralph Winter,0
nm0862298,David Thwaites,0
nm6916321,Ferdia Walsh-Peelo,2
nm2377903,Lucy Boynton,1
nm0448204,Maria Doyle Kennedy,1
nm0318821,Aidan Gillen,2
nm2930503,Jack Reynor,2
nm5801651,Kelly Thornton,1
nm7603308,Mark McKenna,2
nm4969183,Kyle Bradley Donaldson,2
nm0943614,Don Wycherley,0
nm0687692,Marcella Plunkett,1
nm0568362,Keith McErlean,0
nm4113743,Peter Campion,0
nm0736237,Paul Roe,0
nm0138809,John Carney,2
nm0106835,Anthony Bregman,2
nm0289694,Kevin Scott Frakes,0
nm0632017,Martina Niland,1
nm4504741,Raj Brinder Singh,0
nm0872799,Paul Trijbits,2
nm0130477,Mary Callery,0
nm0000204,Natalie Portman,1
nm0249291,Joel Edgerton,2
nm0000191,Ewan McGregor,2
nm0001187,Noah Emmerich,2
nm2933542,Boyd Holbrook,2
nm0763928,Rodrigo Santoro,2
nm0542022,Alex Manette,0
nm0823693,Todd Stashwick,2
nm3265070,James Burnett,2
nm0703987,Sam Quinn,2
nm3072162,River Shields,0
nm1080822,Chad Brummett,2
nm0816105,Boots Southerland,2
nm0003482,Nash Edgerton,0
nm5223443,Robb Janov,0
nm0640334,Gavin O'Connor,2
nm1127589,Scott Steindorff,2
nm1887564,Scott LaStaiti,2
nm0450193,Aleen Keshishian,0
nm0234806,Terry Dougas,2
nm0168753,Chris Coen,0
nm3929259,Brian Duffield,0
nm0000168,Samuel L. Jackson,2
nm0000621,Kurt Russell,2
nm0324658,Walton Goggins,2
nm0065007,Demián Bichir,2
nm0000619,Tim Roth,2
nm0000514,Michael Madsen,2
nm0001136,Bruce Dern,2
nm0662960,James Parks,0
nm4158239,Dana Gourrier,1
nm1057928,Zoë Bell,1
nm0395448,Lee Horsley,2
nm0428122,Gene Jones,0
nm0420201,Keith Jefferson,0
nm0823149,Craig Stark,0
nm4477795,Belinda Owino,0
nm1475594,Channing Tatum,2
nm0000233,Quentin Tarantino,2
nm0321621,Richard N. Gladstein,2
nm0570690,Shannon McIntosh,1
nm0792049,Stacey Sher,1
nm0434133,Georgia Kacandes,1
nm0177896,Bradley Cooper,2
nm1092227,Sienna Miller,1
nm4141252,Lily James,1
nm0000235,Uma Thurman,1
nm0000668,Emma Thompson,1
nm0722629,Matthew Rhys,2
nm0117709,Daniel Brühl,2
nm2497366,Sarah Greene,0
nm1082477,Omar Sy,2
nm4187130,Sam Keeley,0
nm5891887,Chelsea Li,0
nm1249052,Riccardo Scamarcio,2
nm6297951,Christopher Heskey,0
nm0329094,Henry Goodman,2
nm1304386,Stephen Campbell Moore,2
nm2489799,Elisa Lasowski,0
nm0278747,Julian Firth,2
nm3044664,Richard Rankin,2
nm0872040,Martin Trenaman,0
nm1561546,Jody Halse,0
nm3656035,Erica Emm,0
nm0920274,John Wells,2
nm1140275,Steven Knight,2
nm0831098,Erwin Stoff,2
nm0689856,Claire Rudnick Polstein,1
nm0783346,Dylan Sellers,2
nm0787834,Michael Shamberg,2
nm0858123,Kris Thykier,0
nm0000160,Ethan Hawke,2
nm0914612,Emma Watson,1
nm0000667,David Thewlis,2
nm0089937,Lothaire Bluteau,2
nm0225460,Dale Dickey,1
nm1399770,David Dencik,2
nm1256602,Devon Bostick,2
nm0039148,Aaron Ashmore,2
nm0534132,Peter MacNeill,2
nm0124666,Adam Butcher,2
nm3313477,Jacob Neayem,0
nm1378320,Aaron Abrams,2
nm0228324,Catherine Disher,1
nm0724995,Julian Richings,2
nm2106870,Kristian Bruun,2
nm0528994,Wendy Lyon,1
nm3848496,Janet Porter,1
nm0344010,Deborah Grover,1
nm2632609,Stephen Hughes,2
nm2286416,James Preston Rogers,2
nm0024622,Alejandro Amenábar,2
nm0100559,Fernando Bovaira,2
nm1114974,Christina Piovesan,1
nm0350453,Jake Gyllenhaal,2
nm1046097,Rachel McAdams,1
nm0001845,Forest Whitaker,2
nm4802218,Oona Laurence,1
nm1265067,50 Cent,2
nm3004325,Skylan Brooks,0
nm0365140,Naomie Harris,1
nm4244770,Victor Ortiz,0
nm3354041,Beau Knapp,0
nm4205710,Miguel Gomez,0
nm1501093,Dominic Colón,2
nm6771637,Jose Caraballo,0
nm2043794,Malcolm M. Mays,0
nm7468223,Aaron Quattrocchi,0
nm1506923,Lana Young,0
nm4052890,Danny Henriquez,0
nm0575348,Patsy Meck,0
nm4665484,Vito Grassi,0
nm5056722,Tony Weeks,0
nm0502020,Jimmy Lennon Jr.,0
nm0398366,Charles Hoyes,2
nm2740002,Clare Foley,0
nm1357683,Rita Ora,1
nm0472080,Adam Kroloff,2
nm0298807,Antoine Fuqua,2
nm0724843,Alan Riche,2
nm0724855,Peter Riche,0
nm0005494,Steve Tisch,2
nm1837022,David J. Bloomfield,0
nm7533173,Gary Cheng,0
nm7533174,Jonathan Garrison,0
nm1274416,Stuart Parr,0
nm1733231,David Ranes,0
nm0742297,Paul Rosenberg,0
nm3191111,David L. Schiff,0
nm1176676,Kurt Sutter,2
nm0842470,Ezra Swerdlow,2
nm7391033,Fang Zhao,0
nm1055413,Michael Fassbender,2
nm0182839,Marion Cotillard,1
nm0175916,Paddy Considine,2
nm0365317,Sean Harris,2
nm4456120,Elizabeth Debicki,1
nm0371342,David Hayman,2
nm0747687,Maurice Roeves,2
nm5105119,Ross Anderson,0
nm7752799,Lochlann Harris,0
nm7549368,Kayla Fallon,0
nm6628950,Lynn Kennedy,0
nm6359236,Seylan Baxter,0
nm7391867,Amber Rissmann,0
nm0574436,Hilton McRae,2
nm1273657,Scott Dymond,0
nm0760207,Roy Sampson,0
nm5270502,Barrie Martin,0
nm2355933,Justin Kurzel,2
nm1232664,Laura Hastings-Smith,0
nm0521974,Todd Louiso,2
nm1105617,Jacob Koskoff,0
nm2078681,Michael Lesslie,0
nm0743882,Tessa Ross,1
nm2761920,Olivier Courson,0
nm2542232,Danny Perkins,0
nm2571033,Jenny Borgars,0
nm0000949,Cate Blanchett,1
nm0151419,Kyle Chandler,2
nm0005299,Sarah Paulson,1
nm3821405,Jake Lacy,2
nm1910274,John Magaro,2
nm5754425,Cory Michael Smith,2
nm1247855,Carrie Brownstein,1
nm0189755,Kevin Crowley,0
nm6412766,Nik Pajic,0
nm6394509,Trent Rowland,0
nm7456838,Sadie Heim,0
nm7441180,Kk Heim,0
nm1019450,Amy Warner,0
nm0359798,Michael Haney,0
nm1107245,Wendy Lardin,0
nm1262164,Pamela Evans Haynes,0
nm2182042,Greg Violand,0
nm7734415,Michael Ward,0
nm7734416,Kay Geiger,0
nm6604374,Christine Dye,1
nm7734417,Deb G. Girdler,0
nm1340005,Douglas Scott Sorenson,0
nm0835349,Ken Strunk,0
nm7734418,Mike Dennis,0
nm0720285,Ann Reskin,0
nm5795914,Annie Kalahurka,0
nm6481271,Linnea Bond,0
nm6839803,Steven Andrews,0
nm7734419,Tanya Smith,0
nm1907812,Ryan Wesley Gilreath,0
nm0318915,Chuck Gillespie,0
nm6481270,Jeremy Parker,0
nm6464173,Giedre Bond,0
nm5348282,Liberty Fraysure,0
nm6200419,Robert J. Ashe,0
nm6814486,Anita Farmer Bergman,1
nm6286144,Colin Botts,0
nm7597669,Chelsea Carnder,0
nm6972705,Gary Chinn,0
nm7440312,William Cross,0
nm1152611,Richard Doone,0
nm8021920,Taylor Frey,0
nm0001331,Todd Haynes,2
nm0078542,Dorothy Berwin,1
nm0439563,Elizabeth Karlsen,1
nm0882927,Christine Vachon,1
nm0941262,Stephen Woolley,2
nm0619507,Phyllis Nagy,0
nm1932295,Thorsten Schumacher,0
nm0881490,Andrew Upton,2
nm0004742,Maria Bello,1
nm0342029,Frank Grillo,2
nm3158974,Cody Horn,1
nm1682420,Dustin Milligan,2
nm1177914,Megan Park,1
nm1310709,Scott Mechlowicz,2
nm1683094,Aaron Yoo,2
nm1787678,Alex Goode,0
nm3554130,Ashton Leigh,1
nm0741893,Terence Rosemore,2
nm1138242,Jesse Steccato,2
nm1570245,Meyer DeLeeuw,0
nm2406626,Tyson Sullivan,0
nm1949943,Will Canon,2
nm1962738,Doug Simon,2
nm2188790,Max La Bella,0
nm0165540,Lee Clay,0
nm1490123,James Wan,2
nm1906168,Todd Williams,0
nm0000545,Helen Mirren,1
nm0005351,Ryan Reynolds,2
nm1137209,Tatiana Maslany,1
nm0005017,Katie Holmes,1
nm1796057,Max Irons,2
nm0001097,Charles Dance,2
nm0771713,Tom Schilling,2
nm0001527,Elizabeth McGovern,1
nm1662644,Antje Traue,1
nm0000596,Jonathan Pryce,2
nm0004920,Frances Fisher,1
nm0001953,Moritz Bleibtreu,2
nm0179680,Allan Corduner,2
nm0797985,Olivia Silhavy,0
nm0587060,Ben Miles,2
nm1671304,Alma Hasun,0
nm0230649,Justus von Dohnányi,2
nm0685598,Ludger Pistor,2
nm0475365,Nina Kunzendorf,1
nm5402906,Crystal Clarke,1
nm0397928,Anthony Howell,2
nm0768350,Rolf Saxon,0
nm0228533,Harry Ditson,2
nm0340039,Stephen Greif,2
nm0602496,John Moraitis,0
nm4973067,Cornelia Ivancan,1
nm0193508,Simon Curtis,2
nm0860045,David M. Thompson,2
nm0179479,James Corden,2
nm0000163,Dustin Hoffman,2
nm0307097,Salo Gardner,0
nm4468181,Lara Rossi,0
nm1250510,Jimmy Akingbola,2
nm0529098,Katie Lyons,1
nm5177929,Pixie Davies,1
nm0179549,Richard Cordery,2
nm0510586,Pik-Sen Lim,0
nm0447353,Polly Kemp,0
nm3761559,Alexander Bracq,2
nm5392085,Joseph West,0
nm0569416,Geoffrey McGivern,2
nm0909608,Dearbhla Walsh,0
nm0000182,Jennifer Lopez,1
nm5176624,Priscilla Porianda,0
nm0326063,Elaine Goldsmith-Thomas,1
nm0575656,Benny Medina,2
nm0134922,Peter Capaldi,2
nm0924210,Ben Whishaw,2
nm0002091,Michael Gambon,2
nm0001767,Imelda Staunton,1
nm1020089,Sally Hawkins,1
nm0910278,Julie Walters,1
nm0095017,Hugh Bonneville,2
nm0000980,Jim Broadbent,2
nm0524240,Matt Lucas,2
nm0455057,Matt King,2
nm4575328,Samuel Joslin,0
nm6620079,Daniel Westwood,0
nm0171015,Dominic Coleman,0
nm1375030,Simon Farnaby,2
nm4189049,Madeleine Harris,0
nm0236071,Tim Downie,2
nm1002209,Madeleine Worrall,1
nm5390029,Lottie Steer,0
nm0658244,Geoffrey Palmer,2
nm0914902,Theresa Watson,0
nm1286491,Michael Bond,0
nm4643221,Jude Wright,0
nm1315378,Kayvan Novak,2
nm0626566,Eddie Nestor,0
nm0593395,Iain Mitchell,0
nm2208196,Jonathan Derbyshire,0
nm0741192,Mary Roscoe,0
nm0317275,Llewella Gideon,1
nm5261572,Tarik Blake,0
nm0090226,Ross Boatman,2
nm1361530,Steve Oram,0
nm1360283,Tom Meeten,2
nm1546686,Alice Lowe,1
nm0810337,Will Smith,2
nm1668745,Toby Williams,0
nm1343486,Catherine Shepherd,0
nm2375311,Javier Marzan,0
nm2638532,Sean Bridgeman,0
nm1517523,Justin Edwards,2
nm0843266,Cleo Sylvestre,0
nm1476321,Gus Brown,0
nm1257480,Rufus Jones,0
nm0352901,Kenneth Hadley,0
nm0004127,David McKail,2
nm0045480,James Bachman,2
nm1222917,Steve Edge,0
nm4327150,Barry Ashton,0
nm4298666,Lauren Barrand,0
nm5195435,Ancuta Breaban,1
nm5219130,Asim Chaudhry,0
nm0171625,Bern Collaco,0
nm6102172,Faith Elizabeth,0
nm5153722,Nigel Genis,0
nm7254255,Kornelia Horvath,1
nm3079422,Denis Khoroshko,0
nm6501784,Shaz Lancaster,0
nm1088528,Jim Lawrence,0
nm5360921,Stuart Matthews,0
nm3717498,Matthew David McCarthy,0
nm1675336,George Newton,2
nm5557500,Jack Philips,0
nm5507287,Fabio Vollono,0
nm4914253,Julie Vollono,0
nm4880315,Vic Waghorn,0
nm1503726,Paul King,2
nm0382268,David Heyman,2
nm0386650,Michael Hirsh,0
nm0010736,Amy Adams,1
nm1269983,Krysten Ritter,1
nm0396812,Danny Huston,2
nm0005403,Jason Schwartzman,2
nm0000654,Terence Stamp,2
nm0689237,Jon Polito,2
nm5947387,Farryn VanHumbeck,1
nm4350371,Emily Fonda,1
nm5865422,Delaney Raye,1
nm4699715,Madeleine Arthur,1
nm0756839,James Saito,2
nm1304907,Guido Furlani,2
nm2649203,Elisabetta Fantone,1
nm3125251,Darren Dolynski,2
nm1660138,David Milchard,2
nm2979804,Emily Maddison,0
nm0152313,Brent Chapman,2
nm1705724,Jill Morrison,1
nm2086012,Leela Savasta,1
nm3957563,Stephanie Bennett,1
nm4638483,Andrea Bucko,0
nm1527475,Aaron Craven,2
nm0465959,Michael Kopsa,2
nm0410127,Brittney Irvin,1
nm2254636,Matthew Kevin Anderson,2
nm1366553,Pomaika'i Brown,0
nm1706719,Julie Johnson,1
nm0217751,Deni DeLory,0
nm1976541,Heather Doerksen,1
nm1339610,Eliza Norbury,1
nm0562314,Patricia Mayen-Salazar,1
nm0017167,Tony Alcantar,2
nm0132844,Sean Campbell,2
nm2922677,Fiona Vroom,0
nm0000318,Tim Burton,2
nm1987578,Lynette Howell,0
nm0018735,Scott Alexander,2
nm0438989,Larry Karaszewski,2
nm0292390,Katterli Frauenfelder,0
nm0294553,Derek Frey,2
nm1364232,Jamie Patricof,0
nm0001780,Peter Stormare,2
nm0020751,Laura Allen,1
nm1176867,Elizabeth Whitmere,1
nm4680692,Christian Distefano,0
nm0531788,John MacDonald,0
nm0787825,Chuck Shamata,2
nm1022918,Andy Powers,0
nm2733641,Sarah Scheffer,0
nm1393956,Claudia Jurt,1
nm1873018,Matthew Stefiuk,0
nm1952213,Robert Reynolds,0
nm0022872,Allen Altman,2
nm0832821,Brandon Stouffer,0
nm3442411,Jodi Larratt,1
nm4050931,Abigail Lieff,0
nm4849732,Jocelyn Deighton,0
nm6208628,Amy Balaton,0
nm0744834,Eli Roth,2
nm2291162,Cody Ryder,0
nm0580005,Robert Menzies,2
nm1003922,Brian Oliver,2
nm1218281,Jon Watts,2
nm0931329,Michelle Williams,1
nm0000218,Kristin Scott Thomas,1
nm0774386,Matthias Schoenaerts,2
nm0727165,Sam Riley,2
nm2235721,Ruth Wilson,1
nm0933727,Lambert Wilson,2
nm3053338,Margot Robbie,1
nm0910040,Harriet Walter,1
nm0391600,Clare Holman,1
nm0277525,Deborah Findlay,1
nm1101713,Eric Godon,0
nm0728795,Paul Ritter,2
nm0149616,Nicolas Chagrin,2
nm0825231,Bernice Stegers,1
nm0272224,Heino Ferch,2
nm0244954,Simon Dutton,0
nm0448712,Diana Kent,1
nm2953208,Martin Swabey,0
nm1314116,Saul Dibb,2
nm4131020,Matt Charman,0
nm0117599,Romain Brémond,0
nm1095938,Andrea Cornwell,0
nm0474138,Michael Kuhn,2
nm0545421,Xavier Marchand,2
nm0000620,Mickey Rourke,2
nm0004695,Jessica Alba,1
nm0000982,Josh Brolin,2
nm0330687,Joseph Gordon-Levitt,2
nm0206257,Rosario Dawson,1
nm0000246,Bruce Willis,2
nm1200692,Eva Green,1
nm0000959,Powers Boothe,2
nm0371660,Dennis Haysbert,2
nm0000501,Ray Liotta,2
nm0005221,Christopher Meloni,2
nm0005315,Jeremy Piven,2
nm0000502,Christopher Lloyd,2
nm0454809,Jaime King,1
nm1017334,Juno Temple,1
nm0190744,Marton Csokas,2
nm0161980,Jude Ciccolella,2
nm1512166,Jamie Chung,1
nm3078932,Lady Gaga,1
nm0891786,Alexa PenaVega,1
nm3400186,Julia Garner,1
nm3046228,Billy Blair,2
nm0735466,Patricia Vonne,1
nm2429968,Bart Fletcher,0
nm1413209,Alejandro Rose-Garcia,0
nm4692308,Samuel Davis,2
nm6697496,Mike Davis,0
nm2264658,Kimberly Cox,0
nm0224832,Alcides Dias,0
nm4527064,Vincent Fuentes,0
nm4766571,Rob Franco,0
nm4167739,Daylon Walton,0
nm0110433,Eloise DeJoria,1
nm1060552,Bob Schreck,2
nm0890073,Lawrence Varnado,0
nm1281943,Jimmy Gonzales,2
nm0870211,Tommy Townsend,2
nm0521519,Robert Lott,2
nm2552460,Gregory Kelly,0
nm4577760,Patrick Sane,0
nm1862555,Greg Ingram,2
nm1080718,Will Beinbrink,2
nm3606871,Dimitrius Pulido,0
nm2734003,John Wirt,0
nm2062601,Emmy Robbin,0
nm1788724,Luis Albert Acevedo Jr.,0
nm1712435,Christian Bowman,0
nm0719736,Johnny Reno,2
nm5555747,Callie Hernandez,1
nm0588340,Frank Miller,2
nm0001675,Robert Rodriguez,2
nm3703488,Sergei Bespalov,0
nm2721926,Aaron Kaufman,0
nm1655017,Stephen L'Heureux,0
nm4808284,Mark C. Manuel,0
nm0000313,Jeff Bridges,2
nm0000658,Meryl Streep,1
nm4154798,Brenton Thwaites,2
nm3843467,Odeya Rush,1
nm0002907,Alexander Skarsgård,2
nm2357847,Taylor Swift,1
nm4590173,Emma Tremblay,0
nm2619272,Katharina Damm,0
nm6673560,Alexander Jillings,2
nm6673561,James Jillings,0
nm6673562,Jordan Nicholas Smal,0
nm6673563,Saige Fernandes,0
