person_id,name,Al Franken,Alec Baldwin,Alfred Hitchcock,Andrew Kreisberg,Andy Dick,Anthony Michael Hall,Arnold Schwarzenegger,Ben Affleck,Bernardo Bertolucci,Bill Cosby,Bill Murray,Billy Dee Williams,Brett Ratner,Brian Bonsall,Bryan Singer,Carmen Electra,Casey Affleck,Charlie Sheen,Christian Bale,Christian Slater,Clint Eastwood,Columbus Short,Cuba Gooding Jr.,David O. Selznick,Donald J. Trump,Dustin Diamond,Dustin Hoffman,Ed Westwick,Edward Furlong,Emile Hirsch,Eric Roberts,Gary Busey,Gary Goddard,Gary Oldman,George Takei,Gerard Depardieu,Harvey Weinstein,Jack Nicholson,James Caan,James Toback,James Woods,Jan-Michael Vincent,Jared Leto,Jeffrey Tambor,Jeremy Piven,Jim Carrey,John Barrymore,John Singleton,John Stamos,John Travolta,Johnny Depp,Jonathan Rhys-Meyers,Josh Brolin,Kevin Costner,Kevin Hart,Kevin Spacey,Kirk Douglas,Klaus Kinski,Lars Von Trier,Lisa Robin Kelly,Louis B. Mayer,Louis C.K.,Mario Lopez,Mark Wahlberg,Marlon Brando,Mel Gibson,Michael Bay,Michael Fassbender,Mickey Rourke,Morgan Freeman,Nate Parker,Nicolas Cage,Oliver Stone,Philip Michael Thomas,Rob Lowe,Roman Polanski,Russell Crowe,Ryan O'Neal,Sam Worthington,Sasha Mitchell,Sean Connery,Sean Penn,Stephen Collins,Steven Seagal,Terrence Howard,Tom Sizemore,Tom Wopat,Wesley Snipes,Woody Allen
1001673,Scott Prisand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001674,Matt Weaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,Charlton Heston,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001705,Remington Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001770,Dave Vescio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1001970,Adam Cockburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,Hugh Griffith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100230,Mickey Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002306,Rob Steinberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100244,Otto Matieson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
